task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit
12eac192,pair2,2,B,1.0901,19.1284,43
12eac192,pair2,3,B,1.3307,23.8703,43
12eac192,pair2,4,B,1.3307,23.8703,43
15696249,pair2,0,A,6.3972,8.4737,107
15696249,pair2,1,A,24.081,31.0859,107
15696249,pair2,2,A,27.3242,35.0632,107
15696249,pair2,3,A,19.8171,24.5723,107
15696249,pair2,4,A,17.0378,23.7238,107
15696249,pair2,5,A,33.8614,41.3085,107
17b80ad2,pair2,0,B,537.3327,537.3327,1
17b80ad2,pair2,1,B,76.6565,76.6565,1
17b80ad2,pair2,2,B,52.8003,52.8003,1
17b80ad2,pair2,3,B,26.9232,26.9232,1
17b80ad2,pair2,4,B,107.8154,107.8154,1
195ba7dc,pair2,0,A,6.8327,7.7412,6
195ba7dc,pair2,1,A,25.3681,45.9228,6
195ba7dc,pair2,2,A,3.8636,6.372,6
195ba7dc,pair2,3,A,19.3059,23.2669,6
195ba7dc,pair2,4,A,16.8531,33.7477,6
195ba7dc,pair2,5,A,8.4731,10.3301,6
1a2e2828,pair2,0,A,0.0,0.0,144
1a2e2828,pair2,1,A,0.0,0.0,144
1a6449f1,pair2,0,A,0.0,0.0,27
1a6449f1,pair2,1,A,0.0,0.0,27
1a6449f1,pair2,2,A,0.0,0.0,27
1a6449f1,pair2,3,A,0.0,0.0,27
1a6449f1,pair2,4,A,0.0,0.0,27
1acc24af,pair2,0,B,1.8352,42.7503,45
1acc24af,pair2,1,B,47.9173,112.7708,45
1acc24af,pair2,2,B,0.0,29.2508,45
1acc24af,pair2,3,B,2.2043,29.1256,45
1acc24af,pair2,4,B,0.8582,30.032,45
1acc24af,pair2,5,B,45.4441,127.2903,45
1acc24af,pair2,6,B,12.1787,31.1777,45
1acc24af,pair2,7,B,1.6776,34.1534,45
