task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit,len_human
8e2edd66,pair2,9,A,4.0741,9.7901,23,44
90347967,pair2,0,B,10.4375,11.4687,4,17
90347967,pair2,1,B,0.5625,0.5937,4,23
929ab4e9,pair2,0,B,19.212,20.8181,5,6
929ab4e9,pair2,1,B,2.606,4.0909,5,6
94133066,pair2,0,A,0.0,0.8923,16,7
94133066,pair2,1,A,0.0,0.8923,16,23
94133066,pair2,2,A,0.0,0.8923,16,9
94133066,pair2,3,A,0.0,0.8923,16,5
94133066,pair2,4,A,0.0,0.8923,16,5
99306f82,pair2,0,B,0.0152,1.3144,108,139
99306f82,pair2,1,B,1.2045,2.0833,108,7
9a4bb226,pair2,0,A,0.0,2.2222,246,9
9a4bb226,pair2,1,A,0.0,2.2222,246,10
a3f84088,pair2,0,B,0.4108,2.3888,281,6
a59b95c0,pair2,0,A,0.0,0.0,600,5
a59b95c0,pair2,1,A,0.0,0.0,600,11
aa18de87,pair2,0,B,3.5385,3.9231,31,19
aa18de87,pair2,1,B,6.2308,8.5385,31,21
aa18de87,pair2,2,B,6.3846,8.1538,31,10
ac3e2b04,pair2,0,B,14.1,14.1,1,28
ad7e01d0,pair2,0,A,0.0,0.0,108,16
ad7e01d0,pair2,1,A,63.2496,128.8096,108,155
ad7e01d0,pair2,2,A,0.0,0.0,108,50
ad7e01d0,pair2,3,A,0.0,0.0,108,6
ad7e01d0,pair2,4,A,6.688,8.888,108,11
ad7e01d0,pair2,5,A,0.0,0.0,108,32
ad7e01d0,pair2,6,A,22.16,46.36,108,61
ad7e01d0,pair2,7,A,0.0,0.0,108,11
ae58858e,pair2,0,B,0.8889,1.4444,2,7
ae58858e,pair2,1,B,1.4444,1.5,2,11
b7f8a4d8,pair2,0,B,2.1875,10.8125,33,28
b7f8a4d8,pair2,1,B,0.5521,9.1146,33,7
b7f8a4d8,pair2,2,B,8.8021,17.2187,33,5
b7f8a4d8,pair2,3,B,8.5,12.4062,33,6
b7f8a4d8,pair2,4,B,2.7292,11.3541,33,52
b7f8a4d8,pair2,5,B,0.9583,9.5833,33,17
b7f8a4d8,pair2,6,B,9.125,15.2604,33,14
b7fb29bc,pair2,0,B,2.2708,5.9792,3,51
bbb1b8b6,pair2,0,A,0.25,1.5,105,9
bbb1b8b6,pair2,1,A,0.25,1.5,105,23
bc4146bd,pair2,0,A,7.8,7.8,1,85
c074846d,pair2,0,B,0.5,0.6667,11,5
c074846d,pair2,1,B,170.1668,171.0002,11,14
c8b7cc0f,pair2,0,A,2.0,2.0,1,9
ccd554ac,pair2,0,A,0.0,0.0,257,6
ccd554ac,pair2,1,A,0.0,0.0,257,175
ccd554ac,pair2,2,A,4.3856,5.96,257,20
ccd554ac,pair2,3,A,9.8688,16.6464,257,17
ccd554ac,pair2,4,A,0.0,0.0,257,21
ccd554ac,pair2,5,A,0.0,0.0,257,7
cd3c21df,pair2,0,A,0.0,3.6667,121,5
d19f7514,pair2,0,A,4.25,4.2708,2,19
d19f7514,pair2,1,A,4.9167,4.9375,2,24
d19f7514,pair2,2,A,5.4583,5.5208,2,30
d19f7514,pair2,3,A,2.2917,2.3125,2,6
d19f7514,pair2,4,A,2.3333,2.375,2,6
d2acf2cb,pair2,0,B,10.0833,10.0833,1,5
d4b1c2b1,pair2,0,A,0.0,0.0,35,9
d4b1c2b1,pair2,1,A,0.0,0.0,35,35
d4b1c2b1,pair2,2,A,0.0,0.0,35,9
d4b1c2b1,pair2,3,A,0.0,0.0,35,41
d4b1c2b1,pair2,4,A,0.0,0.0,35,14
